"Time","Cuisine","Extérieur","2ème étage","Chambre 3","Extérieur Cuisine","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre3 2","Chambre 2","Chambre 1","Chambre 2 2"
2021-01-04 19:30:00,,68,,,,72,45,74,55,47,51,53,
2021-01-04 20:00:00,,68,,,,,44,74,55,47,52,,50
2021-01-04 21:00:00,,72,58,,,76,45,76,55,47,52,,
2021-01-05 02:00:00,,73,,,,82,43,78,56,48,55,,
2021-01-05 03:00:00,,73,,,,83,43,78,55,48,55,59,
2021-01-05 05:00:00,,74,,,,85,43,79,55,48,55,59,
2021-01-05 06:00:00,,76,,52,,87,42,80,55,48,55,59,
2021-01-05 09:00:00,,76,,,,,42,80,53,45,52,,46
2021-01-05 09:15:00,,76,55,46,,,42,80,53,45,52,,
2021-01-05 10:00:00,,76,,,,87,43,79,53,45,52,48,46
2021-01-05 10:15:00,,75,55,,,,43,80,53,45,52,,
2021-01-05 11:45:00,,73,56,,,80,43,78,53,45,52,,47
2021-01-05 12:30:00,,72,,48,,77,44,77,54,45,52,50,
2021-01-05 13:00:00,,73,58,,,76,44,77,54,46,52,53,
2021-01-05 15:15:00,,71,,,,,42,77,56,45,51,49,
2021-01-05 15:45:00,,73,56,45,,,42,77,55,44,51,46,44
2021-01-05 16:45:00,,74,55,,88,79,42,77,54,44,51,,
2021-01-05 17:30:00,,75,,,,,43,77,54,44,51,,46
2021-01-05 18:30:00,,75,56,,,,43,77,53,45,51,,
2021-01-05 19:45:00,,75,,48,,,44,77,54,45,52,,50
2021-01-05 20:15:00,,74,,,,,43,77,54,45,52,,48
2021-01-05 21:30:00,,73,,50,,78,43,76,54,46,53,,
2021-01-05 23:30:00,,71,,50,,76,42,75,53,,54,,
2021-01-06 00:15:00,,72,56,51,,,42,75,53,46,54,,
2021-01-06 01:15:00,,73,56,51,,78,42,76,53,47,54,,
2021-01-06 02:30:00,,73,,51,,,41,76,53,47,54,56,51
2021-01-06 03:00:00,,72,,,,,41,76,53,47,54,56,51
2021-01-06 05:30:00,,71,55,,,78,41,76,53,47,54,56,51
2021-01-06 07:45:00,,72,55,39,,,40,74,53,45,54,37,33
2021-01-06 08:15:00,,72,45,,,,40,75,52,42,50,40,38
2021-01-06 09:30:00,,69,54,,,76,40,74,52,44,50,,
2021-01-06 10:00:00,,67,54,,,73,41,72,52,44,50,48,44
2021-01-06 10:30:00,,67,54,46,,69,41,72,52,44,50,48,
2021-01-06 11:00:00,,68,54,,,68,41,71,52,44,50,,44
2021-01-06 11:45:00,,68,,46,,67,41,71,52,44,50,48,
2021-01-06 13:30:00,,65,,,,65,43,70,52,45,51,,
2021-01-06 14:30:00,,66,,,,,42,69,53,45,51,49,
2021-01-06 16:15:00,,67,54,,,,41,70,52,44,51,,
2021-01-06 17:30:00,,69,54,46,,70,,,,,,,
2021-01-06 18:00:00,,69,54,,,71,,,,,,,
2021-01-06 18:30:00,,69,61,48,,71,,,,,,,45
2021-01-06 19:00:00,,69,59,,,72,,,,,,,
2021-01-06 19:30:00,,69,58,,,,,,,,,,
2021-01-06 20:15:00,,69,,,,,,,,,,53,
2021-01-06 21:15:00,,69,57,,,,,,,,,,
2021-01-06 22:15:00,,69,58,50,,,,,,,,55,
2021-01-06 23:15:00,,69,57,,,,,,,,,,
2021-01-07 01:00:00,,70,57,50,,,,,,,,59,
2021-01-07 03:00:00,,72,57,,,77,,,,,,,
